type,setup,model,training_mode,seed,AUROC_JF,AUROC_JFINV,AUPRC_JF,AUPRC_JFINV
seed,FIG5_SINGLE,CEBRA,clean,38,0.6100148148148148,0.6657185185185186,0.842510797186449,0.8357835647458733
seed,FIG5_SINGLE,ACORN,adversarial,38,0.5082666666666666,0.7276444444444444,0.8005296437317461,0.8776087676234869
seed,FIG5_SINGLE,CEBRA,clean,226,0.6644740740740739,0.44568888888888886,0.8235340127633175,0.7309628234575003
seed,FIG5_SINGLE,ACORN,adversarial,226,0.633837037037037,0.5685333333333333,0.8604089868926768,0.791680977503231
seed,FIG5_SINGLE,CEBRA,clean,1,0.7344592592592593,0.646637037037037,0.9114243147985833,0.8227409697443228
seed,FIG5_SINGLE,ACORN,adversarial,1,0.5121185185185186,0.5734518518518518,0.7817759815054084,0.83153363273702
seed,FIG5_SINGLE,CEBRA,clean,36,0.5534222222222223,0.3884444444444444,0.8114759031298846,0.7026302650098537
seed,FIG5_SINGLE,ACORN,adversarial,36,0.7230222222222222,0.5249185185185186,0.9022316916681035,0.771116889663633
seed,FIG5_SINGLE,CEBRA,clean,989,0.608888888888889,0.5800296296296297,0.7907650462290029,0.8130300749782177
seed,FIG5_SINGLE,ACORN,adversarial,989,0.4756148148148148,0.5873185185185186,0.765571613267024,0.8058952420543777
seed,FIG5_SINGLE,CEBRA,clean,26,0.7485037037037038,0.5059555555555555,0.880792907450604,0.7473424209497923
seed,FIG5_SINGLE,ACORN,adversarial,26,0.6349037037037037,0.6073481481481482,0.8379503976117066,0.7790513563054448
seed,FIG5_SINGLE,CEBRA,clean,84,0.7491555555555556,0.48444444444444446,0.9035370191833036,0.7560368969826307
seed,FIG5_SINGLE,ACORN,adversarial,84,0.597037037037037,0.4934518518518518,0.8361352018262582,0.7377976784426685
seed,FIG5_SINGLE,CEBRA,clean,66,0.646874074074074,0.5051851851851852,0.8195649411087538,0.7535036748324956
seed,FIG5_SINGLE,ACORN,adversarial,66,0.5158518518518519,0.5140148148148148,0.7866154222004733,0.7479204662696468
seed,FIG5_SINGLE,CEBRA,clean,27,0.6383407407407407,0.6827851851851853,0.8406588142712396,0.8690208811553778
seed,FIG5_SINGLE,ACORN,adversarial,27,0.660562962962963,0.6542222222222223,0.8530926386618906,0.8369157898598079
seed,FIG5_SINGLE,CEBRA,clean,81,0.702162962962963,0.4931555555555555,0.8946154227904453,0.7477626215985541
seed,FIG5_SINGLE,ACORN,adversarial,81,0.5330962962962963,0.6520296296296296,0.8035712355490333,0.868222035185927
seed,FIG5_SINGLE,CEBRA,clean,49,0.6743111111111112,0.4808888888888889,0.848807467351288,0.7645420783039318
seed,FIG5_SINGLE,ACORN,adversarial,49,0.5320888888888888,0.5134222222222222,0.7828791401171097,0.7708552790380001
mean_std,FIG5_SINGLE,ACORN,adversarial,all,0.5751 ± 0.0788,0.5833 ± 0.0726,0.8192 ± 0.0420,0.8017 ± 0.0467
mean_std,FIG5_SINGLE,CEBRA,clean,all,0.6664 ± 0.0632,0.5344 ± 0.0958,0.8516 ± 0.0404,0.7767 ± 0.0508
